"Date1","Time1","UnitCalled","SourceCall","Reason","Narrative","Dispatcher","id","Event"
"01/04/2013","01:08","All","JV","STATUS","227, 383, 630    all set","27",26045,
"01/04/2013","01:53","","8D40","OSV","ClaXXXX @ 0200","27",26046,
"01/04/2013","02:10","","8D75","OSV","SleXXXX @ 0200","27",26047,
"01/04/2013","02:11","","8B51","OSV","LotXXXX @ 0200","27",26048,
"01/04/2013","05:41","","233","ISV","CotXXXX @ 0600   8D21","27",26049,
"01/04/2013","06:42","","278","ISV","MalXXXX @ 0700    8C27","27",26050,
"01/04/2013","06:47","","356","ISV","MatXXXX @ 0700   8D22","27",26051,
"01/04/2013","08:05","","214","OTHER","ISV","29",26052,
"01/04/2013","08:10","","534","OTHER","ISV","29",26053,
"01/04/2013","08:16","","620","OTHER","246 ISV","29",26054,
"01/04/2013","07:59","","531","OTHER","ISV","29",26055,
"01/04/2013","08:26","","PH","OTHER","LT. WISXXXXX  ISV","29",26056,
"01/04/2013","08:41","","356","ENRT","TO MEET WITH 278 FOR SLE","29",26057,
"01/04/2013","08:54","","CAPT KIRSCHNER","OTHER","CALLED TO SEE IF ANY MESSAGES PASSED ALONG LT WISXXXXX WAS INS WOULD BE AT ACAD AT 0900","29",26058,
"01/04/2013","09:05","","313","OTHER","ISV LD","29",26059,
"01/04/2013","09:23","","6222","OTHER","CALLED LOOKING FOR MAJ ADAXXXX","29",26060,
"01/04/2013","09:47","","620","OTHER","NEEDS 233 TO CALL HIM AT Z2 STATION","29",26061,
"01/04/2013","09:53","","215","OTHER","OTSEGO CO SHERIFF'S OFFICE WANTS HIM TO RIDE WITH THEM 1/5 WILL HAVE HIM RIDE ONE OF THEIR SLEDS","29",26062,
"01/04/2013","09:53","","356  278","OTHER","ON SNOWMOBILE PATROL","29",26063,
"01/04/2013","10:02","","278","OTHER","TULLY AREA","29",26064,
"01/04/2013","10:34","","233","OTHER","LIVERPOOL HS FILE 5 FROM TI","29",26065,
"01/04/2013","11:08","","233","CLR","","29",26066,
"01/04/2013","11:20","","PH","OTHER","CAPT BUXXX FROM CATTARAUGUS CO SHERIFF'S OFFICE RETURNING PHONE CALL FROM SGT FISXXXX 716-XXX-22XX I ADVISED I WOULD SEND AN EMAIL SINCE HE WAS OUT OF OFFICE","29",26067,
"01/04/2013","11:05","","SGT FISXXXX","OTHER","ROLLING PHONE ENRT TO FUNERAL","29",26068,
"01/04/2013","11:24","","278","DATA","C5 TUXTON CORTLAND CO 5900SN","29",26069,
"01/04/2013","12:23","","238","DATA","67000XX JUGPOINT AND RT 46","29",26070,
"01/04/2013","13:44","","213","OTHER","ISV","29",26071,
"01/04/2013","13:50","","605","OTHER","ISV","29",26072,
"01/04/2013","13:59","","278","DATA","7900SN","29",26073,
"01/04/2013","14:50","","278","DATA","6900SN","29",26074,
"01/04/2013","14:50","","278","DATA","53 NEAR TOGGENBERG   CID 726XXX688","29",26075,
"01/04/2013","15:38","","278","DATA","NY SN 5400SN MARKUM HOLLOW RD @ SECONDARY 50 TRAIL T/TULLY - ISSUING TO RO FOR OP W/O INSURANCE","18",26076,
"01/04/2013","15:47","","630","ISV","8D41","18",26077,
"01/04/2013","15:55","","278","NOTE","OFF SLEDS ENRT SOUTH","18",26078,
"01/04/2013","15:55","","227","ISV","8D40","18",26079,
"01/04/2013","16:01","","383","ISV","","18",26080,
"01/04/2013","16:35","","SGT/ SZKXXXXXX","OTHER","ROLLING PHONES","18",26081,
"01/04/2013","16:40","","8D75","DATA","NY SN 8300SN NY CID 709XXX640 @ GRSP","18",26082,
"01/04/2013","16:43","8D75","JV","DATA RLYD","CLR NOTHING NEEDED , 8D29 ENRT OEC","18",26083,
"01/04/2013","17:00","","313","OSV","1700","18",26084,
"01/04/2013","17:02","","8C27","OSV","","18",26085,
"01/04/2013","16:03","","8D21","OSV","","18",26086,
"01/04/2013","17:27","","8D24","OSV","1700","18",26087,
"01/04/2013","17:44","","8D29","OTHER","COLLINS RD CROSSING NY SN 2300SN","18",26088,
"01/04/2013","17:46","8D29","JV","DATA RLYD","ISSUING IMPRUDENT SPEED","18",26089,
"01/04/2013","17:58","8D29","JV","STATUS","ALL SET CLRING SHORTLY","18",26090,
"01/04/2013","17:59","","8D42","OSV","WITH 620","18",26091,
"01/04/2013","18:09","","8D29","CLR","","18",26092,
"01/04/2013","18:38","","8D23","DATA","NY FXX9000 IN EMPLOYEE LOT CR.  ADVISED ASSOCIATE OF TXX HUGXXX","18",26093,
"01/04/2013","18:48","","8D15","OSV","1800","18",26094,
"01/04/2013","19:06","","8D29","ARR","VB","18",26095,
"01/04/2013","20:04","","8D29","OSV","","18",26096,
"01/04/2013","20:19","","8D23","DATA","NY OS132 AT CR OUT BACK UNSURE ON OCCUPANTS RUNNING","18",26097,
"01/04/2013","20:23","","8D23","DATA","NY CID 136XXX297 & WAXX, KEIXXXX R XX/XX/XX","18",26098,
"01/04/2013","20:25","8D23","JV","DATA RLYD","WILL ADVISE","18",26099,
"01/04/2013","20:26","","8D23","CLR","WARN","18",26100,
"01/04/2013","21:19","","8D70","DATA","NY SN 7600SN & NY SN 9100SN WHITNEY PT @ 206 & 79; ISSUING  UNREG AND UNINS TO NY CID 604XXXX427  AND UNINSURED TO NY CID 147XXX503","18",26101,
"01/04/2013","22:20","","8D23","CLR","PROP CK CF","18",26102,
"01/04/2013","22:00","ALL","JV","STATUS","605 213 227 630 383","18",26103,
"01/04/2013","21:00","ALL","JV","STATUS","605 213 227 630 383","18",26104,
"01/04/2013","22:22","","8D41","DATA","NY SN 3700SN DENNING RD T/PICKNEY","18",26105,
"01/04/2013","22:25","8D41","JV","DATA RLYD","WILL ADVISE","18",26106,
"01/04/2013","22:45","","8D23","CLR","PROPERTY CHECK LHS","18",26107,
"01/04/2013","23:00","All","JV","STATUS","605, 213, 383, 227, 630    All Set","27",26108,
"01/04/2013","23:34","","8D23","DATA","GR Near bathhouse   FXN3021","27",26109,
"01/04/2013","23:37","","8D23","DATA","610870737","27",26110,
"01/04/2013","23:38","8D23","JV","DATA RLYD","","27",26111,
"01/04/2013","23:40","","8D23","CLR","Warning","27",26112,
"01/05/2013","00:01","","8D23","OSV","O'HOXXXX @ 2400","27",26113,
"01/05/2013","00:02","All","JV","STATUS","383, 227, 630     All Set","27",26114,
"01/05/2013","00:07","","8D70","OSV","BegXXXX @ 2400","27",26115,
"01/05/2013","01:00","All","JV","STATUS","383, 227, 630     All Set","27",26116,
"01/05/2013","01:56","","8D40","OSV","ClaXXXX @ 0200","27",26117,
"01/05/2013","02:00","","8D41","OSV","SleXXXX @ 0200","27",26118,
"01/05/2013","02:14","","8B51","OSV","LotXXXX @ 0200","27",26119,
"01/05/2013","05:32","","233","ISV","CotXXXX @ 0600  8D21","27",26120,
"01/05/2013","07:37","","265","OTHER","ISV","29",26121,
"01/05/2013","07:42","","213","OTHER","ISV","29",26122,
"01/05/2013","07:48","","215","OTHER","ISV","29",26123,
"01/05/2013","08:08","","617","OTHER","ISV","29",26124,
"01/05/2013","08:11","","534  620","OTHER","ISV","29",26125,
"01/05/2013","08:27","","214","OTHER","ISV","29",26126,
"01/05/2013","10:36","","265","DATA","DXX3500 POTTER RD C/ROME","29",26127,
"01/05/2013","10:48","","265","CLR","","29",26128,
"01/05/2013","11:19","","265","DATA","8200SN HIGGINSVILLE AT OEC","29",26129,
"01/05/2013","11:28","","265","CLR","","29",26130,
"01/05/2013","11:43","","214","DATA","3500SN WOLF POND RD BELMONT","29",26131,
"01/05/2013","11:50","","PH","OTHER","SKIER AT CV ON GOLF COURSE 3RD HOLE GOT INJ NEEDS PARK OFFICER FOR REPORT. ADIVED 213 WILL BE ENRT","29",26132,
"01/05/2013","11:51","","214","OTHER","ON FOOT","29",26133,
"01/05/2013","12:09","","214","DATA","2710FM","29",26134,
"01/05/2013","08:05","","214","ENRT","TO HQ","29",26135,
"01/05/2013","12:18","","215","ARR","CV","29",26136,
"01/05/2013","09:25","","215","ARR","HQ","29",26137,
"01/05/2013","12:22","","213","ENRT","CORRECTION 213 WAS ENRT TO HQ NOT 215 AND ARRIVED AT HQ AND CV","29",26138,
"01/05/2013","12:30","","214","CLR","","29",26139,
"01/05/2013","13:06","","265","ENRT","VB","29",26140,
"01/05/2013","13:10","","265","ARR","","29",26141,
"01/05/2013","13:38","","6265","OTHER","CALLED TO REPORT A SILVER NISSAN XTERRA IN THE DITCH AT OEC FAYETTEVILLE ALONG WITH THE GATE BEING OPEN. WILL CALL BACK WITH PLATE NUMBER 233 ADVISED ENRT FROM GR","29",26142,
"01/05/2013","13:41","","233","ARR","","29",26143,
"01/05/2013","13:45","","233","OTHER","WILL ON FOOT IN AREA","29",26144,
"01/05/2013","13:49","","605","","ISV","29",26145,
"01/05/2013","13:57","","214","OTHER","86 GABRIEL SNOWMOBILE CROSSING ON SLE","29",26146,
"01/05/2013","14:00","","620","DATA","2000SN","29",26147,
"01/05/2013","14:01","","214","DATA","2800SN","29",26148,
"01/05/2013","14:06","","605","DATA","GREENLAKES RD EXX2300","29",26149,
"01/05/2013","14:17","","605","CLR","WV197 OUT WITH ANOTHER SAME LOCATION","29",26150,
"01/05/2013","14:25","","605","CLR","","29",26151,
"01/05/2013","14:26","","233","DATA","9800SN","29",26152,
"01/05/2013","14:28","","620","DATA","5100SN","29",26153,
"01/05/2013","14:36","","214","CLR","BACK IN VEH","29",26154,
"01/05/2013","14:45","","605","CLR","","29",26155,
"01/05/2013","14:55","","605","DATA","MANILUS CENTER RD DXX6000","29",26156,
"01/05/2013","15:01","","620","DATA","8600SN","29",26157,
"01/05/2013","15:22","","8D21","CLR","1 ISSUED TO CID 378.1G","22",26158,
"01/05/2013","15:29","","620","DATA","8500SN UPM","22",26159,
"01/05/2013","16:01","","227","NOTE","ISV 8D40","22",26160,
"01/05/2013","16:03","","233","OSV","1600","22",26161,
"01/05/2013","16:07","","630","NOTE","ISV IN 8D41 AND 290 ISV IN 8D75 @ 1600","22",26162,
"01/05/2013","16:46","","8D23","PROP","GR","22",26163,
"01/05/2013","17:03","","215","NOTE","AOA T/BUTTERNUTS WITH A SUSPICIOUS INCIDENT-EMS MALE NEEDS MED ASSISTANCE 999 TAYXXX RD.","22",26164,
"01/05/2013","17:21","","8D23","ENRT","ZONE 3","22",26165,
"01/05/2013","17:53","","265","OSV","1800","22",26166,
"01/05/2013","18:01","","620","OSV","1800 215 OSV","22",26167,
"01/05/2013","18:03","","617","OSV","1800","22",26168,
"01/05/2013","18:06","","213","OSV","1800","22",26169,
"01/05/2013","18:11","","214","OSV","TAKING  CAR HOME","22",26170,
"01/05/2013","18:30","","BROOME CO","NOTE","LOOKING FOR OSV CALL FROM 213","22",26171,
"01/05/2013","18:59","","8D23","PROP","SS","22",26172,
"01/05/2013","20:40","","8D23","PROP","MP","22",26173,
"01/05/2013","21:00","","227","NOTE","WILL BE HEADING TO TUG HILL AT SOME POINT TONIGHT AND MEETING 630.  WILL LET DISPATCH KNOW WHEN THAT IS.","22",26174,
"01/05/2013","21:01","ALL","JV","STATUS","227/290/630/605 ALL SET","22",26175,
"01/05/2013","20:47","","8D23","OTHER","SCHEDULE QUESTIONS","22",26176,
"01/05/2013","21:47","","23","CLR","PROP CHECK FO","22",26177,
"01/05/2013","22:03","ALL","JV","STATUS","605/227/290/630 ALL SET","22",26178,
"01/05/2013","23:04","ALL","JV","STATUS","605/290/227/630 ALL SET","22",26179,
"01/05/2013","23:57","","605","OSV","2400","22",26180,
"01/05/2013","23:58","","227","NOTE","LEFT MONTEGUE AREA 630 ALL SET FOR 0000 STATUS","22",26181,
"01/06/2013","01:02","ALL","JV","STATUS","227/290/630 ALL SET","22",26182,
"01/06/2013","00:02","ALL","JV","STATUS","290/227/630 ALL SET","22",26183,
"01/06/2013","02:01","","290","OSV","0200 W/ 630 AND 227","22",26184,
"01/06/2013","05:34","","233","NOTE","ISV 8D21 @ 0600","22",26185,
"01/06/2013","07:03","GR","JV","NOTE","LOOKING FOR ISV CALL FROM 390","22",26188,
"01/06/2013","07:35","","PHN","OTHER","DISPATCHER O'CONNELL FROM C/HUDSON PD CALLED ASKED FOR VIN # FOR A UNMARKED FORCE VEHICLE THAT WAS INVOLVED IN A PDAA. 518-828-3388.","12",26189,
"01/06/2013","07:49","","513","ISV","8B53, WILL BE ON SLE AT 0900 WITH 214","12",26190,
"01/06/2013","07:57","","214","ISV","Z3, ENRT Z4 SLE, 8B52","12",26191,
"01/06/2013","08:05","","617","ISV","Z1, 8D40","12",26192,
